gm_id,n_stems,wall_seconds,active_seconds,label,wall_hours,active_hours,active_frac
11,969,201196.95587301586,88687.80310657596,Vibraphone (11),55.88804329805996,24.635500862937764,0.4408009192870228
1,715,104604.59909297051,76243.36716553288,Bright Acoustic Piano (1),29.0568330813807,21.17871310153691,0.7288720364748903
33,473,86640.75854875284,69731.70725623582,Electric Bass (finger) (33),24.06687737465357,19.36991868228773,0.8048372200827134
64,533,100749.51884353741,61461.940430839,Soprano Sax (64),27.98597745653817,17.07276123078861,0.610046987185006
34,529,79038.12183673469,59812.0428798186,Electric Bass (pick) (34),21.955033843537414,16.614456355505165,0.7567492937568723
25,515,86961.72993197279,57840.18149659864,Acoustic Guitar (steel) (25),24.156036092214663,16.06671708238851,0.6651222502340404
21,638,80807.44628117915,54777.620997732425,Accordion (21),22.446512855883096,15.216005832703452,0.6778783827313037
28,474,76436.72235827665,53743.81702947846,Electric Guitar (muted) (28),21.23242287729907,14.928838063744015,0.703115143759942
32,449,98123.38022675736,51712.318616780045,Acoustic Bass (32),27.2564945074326,14.364532949105568,0.5270132204707575
27,520,99491.98349206349,51348.761519274376,Electric Guitar (clean) (27),27.636662081128748,14.263544866465104,0.5161095368389201
69,399,112765.88444444444,49982.80238095238,English Horn (69),31.323856790123454,13.884111772486772,0.4432440061743767
9,1039,224064.9158276644,45314.306870748296,Glockenspiel (9),62.24025439657345,12.58730746409675,0.202237403849521
4,346,71966.62943310657,36371.435759637185,Electric Piano 1 (4),19.99073039808516,10.103176599899218,0.5053930696232573
13,636,135782.59002267575,35824.24412698413,Xylophone (13),37.71738611740993,9.951178924162258,0.263835327644004
80,273,56095.887641723355,30780.59841269841,Lead 1 (square) (80),15.58219101158982,8.550166225749559,0.5487139914656457
81,248,48348.87977324263,24400.253786848072,Lead 2 (sawtooth) (81),13.430244381456287,6.777848274124464,0.5046705094572166
20,164,30714.736734693877,22877.27424036281,Reed Organ (20),8.531871315192744,6.354798400100781,0.7448305495166999
30,144,39835.40825396826,22658.086394557824,Distortion Guitar (30),11.06539118165785,6.293912887377173,0.5687926241423849
14,551,133066.63655328797,21417.199863945578,Tubular Bells (14),36.962954598135546,5.949222184429328,0.16095093720482542
61,187,43451.43002267573,17579.635782312926,Brass Section (61),12.069841672965481,4.8832321617535905,0.4045812939444973
22,174,23777.5679138322,15417.784376417234,Harmonica (22),6.604879976064501,4.282717882338121,0.6484172154313644
